freq,HEWL.0_1MNaPhos_1,HEWL.0_1MNaPhos_2,HEWL.0_1MNaPhos_3,a_chymotrypsinogenA.0_1MNaPhos_1,a_chymotrypsinogenA.0_1MNaPhos_2,a_chymotrypsinogenA.0_1MNaPhos_3,RNaseA.0_1MNaPhos_1,RNaseA.0_1MNaPhos_2,RNaseA.0_1MNaPhos_3
1685,3.362075446,3.366774164,3.365676486,2.812795488,2.82344317,2.824675914,3.174091799,3.181611256,3.183228767
1686,3.167409193,3.172189183,3.170093964,2.673354362,2.682016522,2.684549358,3.031101085,3.039007417,3.036311584
1687,2.980561629,2.982892966,2.980007662,2.531433694,2.535337944,2.540814615,2.88800127,2.897479682,2.890613931
1688,2.798706314,2.796745545,2.793285348,2.383101224,2.380669864,2.389821803,2.739654177,2.751461094,2.741062132
1689,2.622488701,2.616048802,2.612196083,2.227673134,2.219658116,2.231512186,2.583968655,2.597779959,2.584971425
1690,2.453163983,2.443726913,2.439630682,2.065072487,2.054570061,2.066438316,2.41945781,2.433860448,2.420252729
1691,2.278704681,2.269420582,2.265196615,1.881942104,1.874391669,1.881872302,2.231354355,2.243846808,2.231536793
1692,2.107116851,2.101744127,2.09764118,1.688222483,1.689836728,1.688102224,2.027956492,2.035571482,2.026832124
1693,1.938460312,1.938217701,1.93511215,1.49561871,1.508705135,1.496342995,1.818630275,1.819781919,1.816146612
1694,1.770794811,1.773779668,1.773267098,1.315633477,1.337726733,1.317452099,1.612409223,1.607233944,1.609328541
1695,1.605519321,1.606841083,1.611181653,1.162561925,1.18661768,1.165093616,1.421329486,1.411639709,1.419196918
1696,1.439569896,1.434422865,1.445284127,1.033661234,1.052509081,1.03620919,1.245223423,1.233439282,1.245633037
1697,1.287827903,1.274565783,1.29176516,0.931559327,0.942352394,0.93342128,1.094128307,1.08220753,1.097989184
1698,1.151203332,1.131473032,1.152923124,0.844366065,0.848774216,0.844847331,0.963773528,0.953164764,0.971277853
1699,1.032013097,1.010343294,1.032325675,0.763045078,0.766652474,0.761494649,0.851804022,0.843463652,0.862492028
1700,0.935541261,0.916298365,0.935485217,0.692217034,0.700069304,0.688290436,0.762587672,0.757104429,0.77582812
1701,0.846947791,0.83297035,0.847329808,0.621168484,0.635776807,0.614944105,0.682050375,0.679701331,0.697256095
1702,0.768215626,0.760807851,0.769608258,0.556031519,0.577363201,0.548011122,0.612948903,0.613699739,0.629577815
1703,0.697523189,0.696454961,0.700264867,0.499133717,0.524612192,0.490242439,0.554235515,0.557740521,0.57179063
1704,0.635833566,0.639531764,0.640021492,0.454805597,0.47982516,0.44628303,0.507340714,0.512965387,0.525347526
1705,0.571439939,0.57802661,0.576889076,0.410482142,0.431190398,0.403290996,0.459367502,0.466311918,0.477252167
1706,0.514717941,0.522360751,0.520946364,0.374259469,0.388493235,0.368885853,0.418943393,0.42628409,0.435991873
1707,0.469828516,0.476741023,0.476057399,0.348017942,0.35530395,0.344471206,0.388480788,0.395170807,0.403838826
1708,0.428843309,0.433284963,0.433996924,0.321548628,0.323103522,0.319361364,0.358302794,0.363171672,0.37097591
1709,0.393746033,0.394081862,0.396548405,0.295136203,0.293507935,0.293470122,0.329108146,0.330930477,0.338026355
1710,0.370959225,0.365937202,0.370383835,0.276206556,0.273607607,0.274345345,0.308188504,0.306002568,0.31250722
1711,0.347090767,0.335922314,0.342491237,0.253155312,0.250978787,0.250647928,0.283646096,0.276846364,0.282833525
