,freq,lot 021016 rep 1_0,lot 021016 rep 2_0
0,3998.6892084466,-0.0009209083078266678,-0.0009706372709022842
1,3997.7249718397998,-0.0009235830861516793,-0.0009746299778753732
2,3996.760735233,-0.0009274613459994065,-0.0009789772923414826
3,3995.7964986261,-0.0009321435279320063,-0.0009830797782450333
4,3994.8322620193,-0.0009371822182561069,-0.000986538505064516
5,3993.8680254125,-0.0009420783392702144,-0.000988951657315462
6,3992.9037888057,-0.0009462302583965528,-0.0009902187242648967
7,3991.9395521989,-0.0009492366940781511,-0.0009902374073656576
8,3990.9753155921003,-0.0009509459629327415,-0.0009893568190281158
9,3990.0110789853,-0.0009513537519730182,-0.00098787538647513
10,3989.0468423784996,-0.0009507072595530644,-0.000986390842688174
11,3988.0826057716,-0.0009493566869513217,-0.000985306202537578
12,3987.1183691648,-0.0009478020008752152,-0.0009849712894456919
13,3986.1541325579997,-0.0009462942800883532,-0.0009855887984381577
14,3985.1898959512,-0.0009453355123551822,-0.0009872096358877335
15,3984.2256593444,-0.0009450281548556022,-0.0009896859781492213
16,3983.2614227376002,-0.0009456253756325785,-0.0009926667152722086
17,3982.2971861308,-0.0009471293399357192,-0.0009960014337847642
18,3981.3329495240005,-0.0009494915663390534,-0.0009992392135070645
19,3980.3687129172,-0.0009526123701818778,-0.0010021773519791517
20,3979.4044763103,-0.0009559897317427187,-0.0010043625328778575
21,3978.4402397034996,-0.000959220278286057,-0.001005489846979184
22,3977.4760030967,-0.0009618999781652396,-0.0010055609847239987
23,3976.5117664899,-0.0009635736231426051,-0.0010045211442664779
24,3975.5475298831,-0.0009638355941174279,-0.0010025237100660105
25,3974.5832932763,-0.0009626334734098481,-0.000999767990171042
26,3973.6190566695,-0.0009601662459909493,-0.0009966091874328176
27,3972.6548200627003,-0.0009567369469214934,-0.0009933978157145387
28,3971.6905834559,-0.0009527977511096114,-0.0009901854869791623
29,3970.726346849,-0.0009488546429425881,-0.0009872242166005824
30,3969.7621102422,-0.0009453652297269591,-0.0009843616052507842
31,3968.7978736354,-0.0009426819544507772,-0.000981798968247524
32,3967.8336370285997,-0.0009409599400702483,-0.0009794844041941073
33,3966.8694004218,-0.0009403024465955789,-0.0009776225062720662
34,3965.905163815,-0.0009407605129430222,-0.0009763672714073071
35,3964.9409272082003,-0.0009422354669978031,-0.0009759219911583911
36,3963.9766906014,-0.0009446283752510235,-0.0009763412536185079
37,3963.0124539946,-0.0009475841629369736,-0.0009776264555434293
38,3962.0482173877003,-0.0009507481735905497,-0.0009794759864230403
39,3961.0839807809,-0.0009536112039400673,-0.0009816860506719866
40,3960.1197441740997,-0.0009556630276152131,-0.0009837483453828896
41,3959.1555075673,-0.0009567987737796595,-0.0009855080769846432
42,3958.1912709605,-0.0009569160421230322,-0.000986608045085968
43,3957.2270343536998,-0.0009563688016563726,-0.000987096254215508
44,3956.2627977469,-0.0009554641925374181,-0.0009870236028642857
45,3955.2985611401,-0.0009545073386534946,-0.000986644290809442
46,3954.3343245332003,-0.0009538061607881926,-0.0009862131139153267
47,3953.3700879264,-0.0009532057417399817,-0.0009859349722942245
48,3952.4058513196,-0.0009526561784051265,-0.0009858102620333398
49,3951.4416147128004,-0.0009522082272117804,-0.0009859931803375716
50,3950.477378106,-0.0009518120447305201,-0.0009865366331305474
51,3949.5131414991997,-0.0009515713065956948,-0.0009874424285712866
52,3948.5489048924,-0.0009516409731023586,-0.0009886606772787686
53,3947.5846682856,-0.0009520743854817936,-0.0009901932876365779
54,3946.6204316788,-0.0009530251311880651,-0.0009919883656261924
55,3945.6561950719,-0.0009542374528618998,-0.0009937376128688706
56,3944.6919584651,-0.0009557105967260822,-0.000995336626962504
57,3943.7277218583004,-0.0009572388032487251,-0.0009967336067893949
58,3942.7634852515002,-0.0009586156366173158,-0.0009976703593364339
59,3941.7992486446997,-0.0009597378379207131,-0.0009980943842684833
60,3940.8350120378996,-0.0009605011076372422,-0.000997900973649378
61,3939.8707754311,-0.0009607486636147146,-0.0009970873111032285
62,3938.9065388243,-0.000960684838897813,-0.0009957539690754595
63,3937.9423022175,-0.0009602561229593754,-0.0009941052172163988
64,3936.9780656106,-0.0009597974031708361,-0.000992268626796779
65,3936.0138290038,-0.0009594120506076856,-0.0009904769874196201
66,3935.049592397,-0.0009593346626901964,-0.0009889130086414917
67,3934.0853557902,-0.000959774969772474,-0.000987761232548744
68,3933.1211191834004,-0.0009609962097287928,-0.0009871816149777967
69,3932.1568825766,-0.000963079384478495,-0.0009872815100332405
70,3931.1926459697997,-0.0009659750299879342,-0.000987985249798288
71,3930.228409363,-0.000969527465346415,-0.0009892926194621683
72,3929.2641727561,-0.0009734757521301263,-0.000991045766765262
73,3928.2999361493,-0.0009774018241610297,-0.0009930342262567287
74,3927.3356995425,-0.0009809914343960715,-0.0009950213390804827
75,3926.3714629357,-0.0009839047867874742,-0.0009967460756124147
76,3925.4072263289,-0.0009858548761301014,-0.000997869633560134
77,3924.4429897221003,-0.000986762005670109,-0.0009983137255551594
78,3923.4787531153,-0.0009866515777225313,-0.0009979739630551724
79,3922.5145165084996,-0.0009856262553045727,-0.0009970319558413058
80,3921.5502799017,-0.0009839724700373609,-0.0009956702305188609
81,3920.5860432947998,-0.0009820832847815683,-0.0009942566355477976
82,3919.6218066879997,-0.0009802216690695516,-0.0009929772666750537
83,3918.6575700812,-0.0009786518042990612,-0.0009919660388755527
84,3917.6933334744,-0.000977456048077261,-0.0009912538546602639
85,3916.7290968676,-0.0009766342898030911,-0.0009908144570690864
